"id","scientificName","scientificNameAuthorship","eventDate","decimalLongitude","decimalLatitude","institutionCode","collectionCode","catalogNumber","scientificNameID","originalscientificname","acceptedNameUsage","acceptedNameUsageID","accessRights","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","behavior","bibliographicCitation","class","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","countryCode","county","dataGeneralizations","datasetID","dateIdentified","depth","division","dynamicProperties","establishmentMeans","eventID","eventRemarks","eventTime","family","fieldNotes","fieldNumber","footprintSRS","footprintWKT","forma","genus","geodeticDatum","habitat","higherClassification","higherGeography","higherGeographyID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identifiedBy","individualCount","individualID","informationWithheld","infraclass","infrakingdom","infraorder","infraphylum","institutionID","island","islandGroup","kingdom","language","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","materialSampleID","maximumDepthInMeters","minimumDepthInMeters","modified","municipality","nameAccordingTo","nameAccordingToID","namePublishedIn","namePublishedInID","occurrenceID","occurrenceRemarks","occurrenceStatus","order","originalNameUsage","originalNameUsageID","otherCatalogNumbers","ownerInstitutionCode","parvorder","phylum","qc","recordNumber","recordedBy","references","reproductiveCondition","resource_id","rights","rightsHolder","section","sex","source","species","stateProvince","subclass","subdivision","subfamily","subforma","subgenus","subkingdom","suborder","subphylum","subsection","subspecies","subterclass","subtribe","subvariety","superclass","superfamily","superorder","supertribe","taxonConceptID","taxonID","taxonRank","taxonRemarks","taxonomicStatus","taxonomicgroup","tribe","type","typeStatus","valid_id","variety","vernacularName","waterBody","worms_id","year"
660144,"Asterina gibbosa","(Pennant, 1777)","1977-07-08 12:00:00",11.416999816894501,34.5670013427734,"USNM","Invertebrate Zoology: Echinoderms","E28541.336552","urn:lsid:marinespecies.org:taxname:123987","Asterina gibbosa",,,,,,,,,,,"Asteroidea",,,,,,,,,,31.5,,,,,,,"Asterinidae",,,,,,"Asterina",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Valvatida",,,,,,"Echinodermata",808943231,,,,,500,,,,,,"Asterina gibbosa",,,,,,,,,"Asterozoa",,,,,,,,"Valvatacea",,,,,,,"Echinodermata",,,,407066,,,,123987,"1977"
891352,"Asterina gibbosa","(Pennant, 1777)","1974-05-01 12:00:00",10.583000183105499,34.382999420166,"USNM","Invertebrate Zoology: Echinoderms","E47887.356053","urn:lsid:marinespecies.org:taxname:123987","Asterina gibbosa",,,,,,,,,,,"Asteroidea",,,,,,,,,,32,,,,,,,"Asterinidae",,,,,,"Asterina",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Valvatida",,,,,,"Echinodermata",808943231,,,,,500,,,,,,"Asterina gibbosa",,,,,,,,,"Asterozoa",,,,,,,,"Valvatacea",,,,,,,"Echinodermata",,,,407066,,,,123987,"1974"
2445474,"Asterina gibbosa","(Pennant, 1777)","1973-06-09 12:00:00",26.75,38.666999816894496,"USNM","Invertebrate Zoology: Echinoderms","E47863.356027","urn:lsid:marinespecies.org:taxname:123987","Asterina gibbosa",,,,,,,,,,,"Asteroidea",,,,,,,,,,2,,,,,,,"Asterinidae",,,,,,"Asterina",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Valvatida",,,,,,"Echinodermata",808943231,,,,,500,,,,,,"Asterina gibbosa",,,,,,,,,"Asterozoa",,,,,,,,"Valvatacea",,,,,,,"Echinodermata",,,,407066,,,,123987,"1973"
4139264,"Asterina gibbosa","(Pennant, 1777)","1985-08-31 12:00:00",12.5749998092651,37.6533317565918,"USNM","Invertebrate Zoology: Echinoderms","E33940.341923","urn:lsid:marinespecies.org:taxname:123987","Asterina gibbosa",,,,,,,,,,,"Asteroidea",,,,,,,,,,3,,,,,,,"Asterinidae",,,,,,"Asterina",,,,,,,,,,,"2",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Valvatida",,,,,,"Echinodermata",808943231,,,,,500,,,,,,"Asterina gibbosa",,,,,,,,,"Asterozoa",,,,,,,,"Valvatacea",,,,,,,"Echinodermata",,,,407066,,,,123987,"1985"
5493346,"Asterina gibbosa","(Pennant, 1777)","1996-03-30 12:00:00",149.001998901367,-20.5,"AIMS","Biotechnology Collection","AIMS-000088","urn:lsid:marinespecies.org:taxname:123987","Asterina gibbosa",,,,,,,,,,,"Asteroidea",,,,,,,,,,32,,,,,,,"Asterinidae",,,,,,"Asterina",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Valvatida",,,,,,"Echinodermata",821558911,,,,,123,,,,,,"Asterina gibbosa",,,,,,,,,"Asterozoa",,,,,,,,"Valvatacea",,,,,,,"Echinodermata",,,,407066,,,,123987,"1996"
5881210,"Asterina gibbosa","(Pennant, 1777)","1967-02-28 12:00:00",10.3000001907349,36.7750015258789,"USNM","Invertebrate Zoology: Echinoderms","E28083.336082","urn:lsid:marinespecies.org:taxname:123987","Asterina gibbosa",,,,,,,,,,,"Asteroidea",,,,,,,,,,,,,,,,,"Asterinidae",,,,,,"Asterina",,,,,,,,,,,"3",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Valvatida",,,,,,"Echinodermata",808943231,,,,,500,,,,,,"Asterina gibbosa",,,,,,,,,"Asterozoa",,,,,,,,"Valvatacea",,,,,,,"Echinodermata",,,,407066,,,,123987,"1967"
6608840,"Asterina gibbosa","(Pennant, 1777)","1973-07-12 12:00:00",10.633000373840302,34.4500007629395,"USNM","Invertebrate Zoology: Echinoderms","E28520.336531","urn:lsid:marinespecies.org:taxname:123987","Asterina gibbosa",,,,,,,,,,,"Asteroidea",,,,,,,,,,35,,,,,,,"Asterinidae",,,,,,"Asterina",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Valvatida",,,,,,"Echinodermata",808943231,,,,,500,,,,,,"Asterina gibbosa",,,,,,,,,"Asterozoa",,,,,,,,"Valvatacea",,,,,,,"Echinodermata",,,,407066,,,,123987,"1973"
6841468,"Asterina gibbosa","(Pennant, 1777)","1973-07-07 12:00:00",11.505000114440902,34.6083297729492,"USNM","Invertebrate Zoology: Echinoderms","E28540.336551","urn:lsid:marinespecies.org:taxname:123987","Asterina gibbosa",,,,,,,,,,,"Asteroidea",,,,,,,,,,25,,,,,,,"Asterinidae",,,,,,"Asterina",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Valvatida",,,,,,"Echinodermata",808943231,,,,,500,,,,,,"Asterina gibbosa",,,,,,,,,"Asterozoa",,,,,,,,"Valvatacea",,,,,,,"Echinodermata",,,,407066,,,,123987,"1973"
7426059,"Asterina gibbosa","(Pennant, 1777)","1973-06-25 12:00:00",11.408329963684098,33.5166702270508,"USNM","Invertebrate Zoology: Echinoderms","E28529.336540","urn:lsid:marinespecies.org:taxname:123987","Asterina gibbosa",,,,,,,,,,,"Asteroidea",,,,,,,,,,30.5,,,,,,,"Asterinidae",,,,,,"Asterina",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Valvatida",,,,,,"Echinodermata",808943231,,,,,500,,,,,,"Asterina gibbosa",,,,,,,,,"Asterozoa",,,,,,,,"Valvatacea",,,,,,,"Echinodermata",,,,407066,,,,123987,"1973"
10876594,"Asterina gibbosa","(Pennant, 1777)","1974-06-17 12:00:00",12.428330421447802,38.029998779296896,"USNM","Invertebrate Zoology: Echinoderms","E32124.340240","urn:lsid:marinespecies.org:taxname:123987","Asterina gibbosa",,,,,,,,,,,"Asteroidea",,,,,,,,,,,,,,,,,"Asterinidae",,,,,,"Asterina",,,,,,,,,,,"2",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Valvatida",,,,,,"Echinodermata",807894655,,,,,500,,,,,,"Asterina gibbosa",,,,,,,,,"Asterozoa",,,,,,,,"Valvatacea",,,,,,,"Echinodermata",,,,407066,,,,123987,"1974"
