"id","scientificName","scientificNameAuthorship","eventDate","decimalLongitude","decimalLatitude","institutionCode","collectionCode","catalogNumber","scientificNameID","originalscientificname","acceptedNameUsage","acceptedNameUsageID","accessRights","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","behavior","bibliographicCitation","class","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","countryCode","county","dataGeneralizations","datasetID","dateIdentified","depth","division","dynamicProperties","establishmentMeans","eventID","eventRemarks","eventTime","family","fieldNotes","fieldNumber","footprintSRS","footprintWKT","forma","genus","geodeticDatum","habitat","higherClassification","higherGeography","higherGeographyID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identifiedBy","individualCount","individualID","informationWithheld","infraclass","infrakingdom","infraorder","infraphylum","institutionID","island","islandGroup","kingdom","language","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","materialSampleID","maximumDepthInMeters","minimumDepthInMeters","modified","municipality","nameAccordingTo","nameAccordingToID","namePublishedIn","namePublishedInID","occurrenceID","occurrenceRemarks","occurrenceStatus","order","originalNameUsage","originalNameUsageID","otherCatalogNumbers","ownerInstitutionCode","parvorder","phylum","qc","recordNumber","recordedBy","references","reproductiveCondition","resource_id","rights","rightsHolder","section","sex","source","species","stateProvince","subclass","subdivision","subfamily","subforma","subgenus","subkingdom","suborder","subphylum","subsection","subspecies","subterclass","subtribe","subvariety","superclass","superfamily","superorder","supertribe","taxonConceptID","taxonID","taxonRank","taxonRemarks","taxonomicStatus","taxonomicgroup","tribe","type","typeStatus","valid_id","variety","vernacularName","waterBody","worms_id","year"
7380,"Octopus vulgaris","Cuvier, 1797","2004-09-10 12:00:00",10.668999671936001,36.9729995727539,"INSTM","TRAWL","INSTM-TRAWL-003893","urn:lsid:marinespecies.org:taxname:140605","Octopus vulgaris",,,,,,,,,,,"Cephalopoda",,,,,,,,,,60,,,,,,,"Octopodidae",,,,,,"Octopus",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Octopoda",,,,,,"Mollusca",1073217151,,,,,140,,,,,,"Octopus vulgaris",,"Coleoidea",,,,,,"Incirrata",,,,,,,,"Octopodoidea","Octopodiformes",,,,,,,"Cephalopoda",,,,699131,,,,140605,"2004"
27976,"Octopus vulgaris","Cuvier, 1797","1999-05-01 10:09:36",23.8166999816895,-34.8333015441895,"MCM","DEM","MCM-DEM-098244","urn:lsid:marinespecies.org:taxname:140605","Octopus vulgaris",,,,,,,,,,,"Cephalopoda",,,,,,,,,,,,,,,,,"Octopodidae",,,,,,"Octopus",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Octopoda",,,,,,"Mollusca",1073213055,,,,,161,,,,,,"Octopus vulgaris",,"Coleoidea",,,,,,"Incirrata",,,,,,,,"Octopodoidea","Octopodiformes",,,,,,,"Cephalopoda",,,,699131,,,,140605,"1999"
67970,"Octopus vulgaris","Cuvier, 1797","1987-01-20 12:00:00",18.0499992370605,-31.9333000183105,"MCM","DEM","MCM-DEM-009437","urn:lsid:marinespecies.org:taxname:140605","Octopus vulgaris",,,,,,,,,,,"Cephalopoda",,,,,,,,,,,,,,,,,"Octopodidae",,,,,,"Octopus",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Octopoda",,,,,,"Mollusca",1073217151,,,,,161,,,,,,"Octopus vulgaris",,"Coleoidea",,,,,,"Incirrata",,,,,,,,"Octopodoidea","Octopodiformes",,,,,,,"Cephalopoda",,,,699131,,,,140605,"1987"
148665,"Octopus vulgaris","Cuvier, 1797","2004-09-23 12:00:00",11.1999998092651,33.7960014343262,"INSTM","TRAWL","INSTM-TRAWL-003751","urn:lsid:marinespecies.org:taxname:140605","Octopus vulgaris",,,,,,,,,,,"Cephalopoda",,,,,,,,,,33,,,,,,,"Octopodidae",,,,,,"Octopus",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Octopoda",,,,,,"Mollusca",1073217151,,,,,140,,,,,,"Octopus vulgaris",,"Coleoidea",,,,,,"Incirrata",,,,,,,,"Octopodoidea","Octopodiformes",,,,,,,"Cephalopoda",,,,699131,,,,140605,"2004"
159520,"Octopus vulgaris","Cuvier, 1797","1935-09-09 12:00:00",-82,28,"USNM","Invertebrate Zoology: Mollusks","574742.420766","urn:lsid:marinespecies.org:taxname:140605","Octopus vulgaris",,,,,,,,,,,"Cephalopoda",,,,,,,,,,,,,,,,,"Octopodidae",,,,,,"Octopus",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Octopoda",,,,,,"Mollusca",1073184351,,,,,500,,,,,,"Octopus vulgaris",,"Coleoidea",,,,,,"Incirrata",,,,,,,,"Octopodoidea","Octopodiformes",,,,,,,"Cephalopoda",,,,699131,,,,140605,"1935"
168842,"Octopus vulgaris","Cuvier, 1797","2001-02-20 12:00:00",10.9420003890991,36.4669990539551,"INSTM","TRAWL","INSTM-TRAWL-003874","urn:lsid:marinespecies.org:taxname:140605","Octopus vulgaris",,,,,,,,,,,"Cephalopoda",,,,,,,,,,50,,,,,,,"Octopodidae",,,,,,"Octopus",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Octopoda",,,,,,"Mollusca",1073217151,,,,,140,,,,,,"Octopus vulgaris",,"Coleoidea",,,,,,"Incirrata",,,,,,,,"Octopodoidea","Octopodiformes",,,,,,,"Cephalopoda",,,,699131,,,,140605,"2001"
219842,"Octopus vulgaris","Cuvier, 1797","1980-11-04 12:00:00",-83.7802810668945,26.278610229492198,"USNM","Invertebrate Zoology: Mollusks","816730.489805","urn:lsid:marinespecies.org:taxname:140605","Octopus vulgaris",,,,,,,,,,,"Cephalopoda",,,,,,,,,,77,,,,,,,"Octopodidae",,,,,,"Octopus",,,,,,,,,,,"2",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Octopoda",,,,,,"Mollusca",1073118847,,,,,500,,,,,,"Octopus vulgaris",,"Coleoidea",,,,,,"Incirrata",,,,,,,,"Octopodoidea","Octopodiformes",,,,,,,"Cephalopoda",,,,699131,,,,140605,"1980"
219849,"Octopus vulgaris","Cuvier, 1797","1981-08-01 12:00:00",-83.03443908691409,25.286390304565398,"USNM","Invertebrate Zoology: Mollusks","816741.489816","urn:lsid:marinespecies.org:taxname:140605","Octopus vulgaris",,,,,,,,,,,"Cephalopoda",,,,,,,,,,52.2,,,,,,,"Octopodidae",,,,,,"Octopus",,,,,,,,,,,"3",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Octopoda",,,,,,"Mollusca",1073118847,,,,,500,,,,,,"Octopus vulgaris",,"Coleoidea",,,,,,"Incirrata",,,,,,,,"Octopodoidea","Octopodiformes",,,,,,,"Cephalopoda",,,,699131,,,,140605,"1981"
229521,"Octopus vulgaris","Cuvier, 1797","1987-06-26 08:23:24",16.2999992370605,-31.5699996948242,"MCM","DEM","MCM-DEM-122853","urn:lsid:marinespecies.org:taxname:140605","Octopus vulgaris",,,,,,,,,,,"Cephalopoda",,,,,,,,,,375,,,,,,,"Octopodidae",,,,,,"Octopus",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Octopoda",,,,,,"Mollusca",1070067327,,,,,161,,,,,,"Octopus vulgaris",,"Coleoidea",,,,,,"Incirrata",,,,,,,,"Octopodoidea","Octopodiformes",,,,,,,"Cephalopoda",,,,699131,,,,140605,"1987"
249630,"Octopus vulgaris","Cuvier, 1797","2005-05-22 12:00:00",12.491999626159698,34.7089996337891,"INSTM","TRAWL","INSTM-TRAWL-003808","urn:lsid:marinespecies.org:taxname:140605","Octopus vulgaris",,,,,,,,,,,"Cephalopoda",,,,,,,,,,56,,,,,,,"Octopodidae",,,,,,"Octopus",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Octopoda",,,,,,"Mollusca",1073217151,,,,,140,,,,,,"Octopus vulgaris",,"Coleoidea",,,,,,"Incirrata",,,,,,,,"Octopodoidea","Octopodiformes",,,,,,,"Cephalopoda",,,,699131,,,,140605,"2005"
280360,"Octopus vulgaris","Cuvier, 1797",,-81.25,29.8330001831055,"USNM","Invertebrate Zoology: Mollusks","574734.420758","urn:lsid:marinespecies.org:taxname:140605","Octopus vulgaris",,,,,,,,,,,"Cephalopoda",,,,,,,,,,,,,,,,,"Octopodidae",,,,,,"Octopus",,,,,,,,,,,"3",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Octopoda",,,,,,"Mollusca",1073118783,,,,,500,,,,,,"Octopus vulgaris",,"Coleoidea",,,,,,"Incirrata",,,,,,,,"Octopodoidea","Octopodiformes",,,,,,,"Cephalopoda",,,,699131,,,,140605,
310177,"Octopus vulgaris","Cuvier, 1797","1987-01-24 09:16:48",14.2600002288818,-29.0200004577637,"MCM","DEM","MCM-DEM-121008","urn:lsid:marinespecies.org:taxname:140605","Octopus vulgaris",,,,,,,,,,,"Cephalopoda",,,,,,,,,,454,,,,,,,"Octopodidae",,,,,,"Octopus",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Octopoda",,,,,,"Mollusca",1070067327,,,,,161,,,,,,"Octopus vulgaris",,"Coleoidea",,,,,,"Incirrata",,,,,,,,"Octopodoidea","Octopodiformes",,,,,,,"Cephalopoda",,,,699131,,,,140605,"1987"
310443,"Octopus vulgaris","Cuvier, 1797","2000-06-03 10:15:36",23.966699600219698,-34.36669921875,"MCM","DEM","MCM-DEM-075228","urn:lsid:marinespecies.org:taxname:140605","Octopus vulgaris",,,,,,,,,,,"Cephalopoda",,,,,,,,,,,,,,,,,"Octopodidae",,,,,,"Octopus",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Octopoda",,,,,,"Mollusca",1073213055,,,,,161,,,,,,"Octopus vulgaris",,"Coleoidea",,,,,,"Incirrata",,,,,,,,"Octopodoidea","Octopodiformes",,,,,,,"Cephalopoda",,,,699131,,,,140605,"2000"
382743,"Octopus vulgaris","Cuvier, 1797","1964-11-15 12:00:00",8.355833053588869,-31.6341667175293,"SDSC","SeamountsOnline","10126","urn:lsid:marinespecies.org:taxname:140605","Octopus vulgaris",,,,,,,,,,,"Cephalopoda",,,,,,,,,,54,,,,,,,"Octopodidae",,,,,,"Octopus",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Octopoda",,,,,,"Mollusca",1073184383,,,,,10,,,,,,"Octopus vulgaris",,"Coleoidea",,,,,,"Incirrata",,,,,,,,"Octopodoidea","Octopodiformes",,,,,,,"Cephalopoda",,,,699131,,,,140605,"1964"
400408,"Octopus vulgaris","Cuvier, 1797",,-56.2667007446289,6.98330020904541,,,"495","urn:lsid:marinespecies.org:taxname:140605","Octopus vulgaris",,,,,,,,,,,"Cephalopoda",,,,,,,,,,,,,,,,,"Octopodidae",,,,,,"Octopus",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Octopoda",,,,,,"Mollusca",1073217086,,,,,3,,,,,,"Octopus vulgaris",,"Coleoidea",,,,,,"Incirrata",,,,,,,,"Octopodoidea","Octopodiformes",,,,,,,"Cephalopoda",,,,699131,,,,140605,
431595,"Octopus vulgaris","Cuvier, 1797","2002-10-02 12:00:00",11.1420001983643,36.641998291015604,"INSTM","TRAWL","INSTM-TRAWL-003882","urn:lsid:marinespecies.org:taxname:140605","Octopus vulgaris",,,,,,,,,,,"Cephalopoda",,,,,,,,,,68,,,,,,,"Octopodidae",,,,,,"Octopus",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Octopoda",,,,,,"Mollusca",1073217151,,,,,140,,,,,,"Octopus vulgaris",,"Coleoidea",,,,,,"Incirrata",,,,,,,,"Octopodoidea","Octopodiformes",,,,,,,"Cephalopoda",,,,699131,,,,140605,"2002"
431878,"Octopus vulgaris","Cuvier, 1797","1987-06-21 12:12:00",17.5300006866455,-34.2099990844727,"MCM","DEM","MCM-DEM-122849","urn:lsid:marinespecies.org:taxname:140605","Octopus vulgaris",,,,,,,,,,,"Cephalopoda",,,,,,,,,,333,,,,,,,"Octopodidae",,,,,,"Octopus",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Octopoda",,,,,,"Mollusca",1070067327,,,,,161,,,,,,"Octopus vulgaris",,"Coleoidea",,,,,,"Incirrata",,,,,,,,"Octopodoidea","Octopodiformes",,,,,,,"Cephalopoda",,,,699131,,,,140605,"1987"
442427,"Octopus vulgaris","Cuvier, 1797","1982-02-05 12:00:00",-83.3969421386719,26.280559539794897,"USNM","Invertebrate Zoology: Mollusks","816728.489803","urn:lsid:marinespecies.org:taxname:140605","Octopus vulgaris",,,,,,,,,,,"Cephalopoda",,,,,,,,,,55.5,,,,,,,"Octopodidae",,,,,,"Octopus",,,,,,,,,,,"2",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Octopoda",,,,,,"Mollusca",1073118847,,,,,500,,,,,,"Octopus vulgaris",,"Coleoidea",,,,,,"Incirrata",,,,,,,,"Octopodoidea","Octopodiformes",,,,,,,"Cephalopoda",,,,699131,,,,140605,"1982"
